ad_channel,ad_account_id,ad_plan_id,api,apk,user_id,signup,good,ever_good
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541468936,1,0,0
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541552316,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541541009,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,xiaomi,541511157,1,0,0
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541581231,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541468604,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541539432,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,xiaomi,541467940,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541561419,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541513536,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541562022,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541587160,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541535598,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541592146,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541563472,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541582838,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541568971,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541549094,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541547099,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541537586,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541584958,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541554915,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,oppo,541590162,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541565373,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541574191,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541603395,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,oppo,541609465,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541550239,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541548273,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541582815,1,0,1
